country iso3,country name,indicator,category breakdown,technology or sector,funding stage,year,value,unit,number of observations
AFG,AFGHANISTAN,Probability to receive funding,"By sector (energy, green, digital)",Energy,Early stage,2021,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,"By sector (energy, green, digital)",Energy and digital,Early stage,2021,0,Percentage,1
AFG,AFGHANISTAN,Probability to receive funding,"By sector (energy, green, digital)",Energy and non-digital,Early stage,2021,0,Percentage,1
AFG,AFGHANISTAN,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2000,16136364,USD,1
AFG,AFGHANISTAN,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2012,24204.544921875,USD,1
AFG,AFGHANISTAN,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2014,969325.3125,USD,2
AFG,AFGHANISTAN,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2016,2361474.25,USD,1
AFG,AFGHANISTAN,Probability to receive funding,"By sector (energy, green, digital)",Non-energy,Early stage,2021,9.43396186828613,Percentage,53
AFG,AFGHANISTAN,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2022,1.67123281955719,Years,53
AFG,AFGHANISTAN,Probability to receive funding,"By sector (energy, green, digital)",Energy,Later stage,2021,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,"By sector (energy, green, digital)",Energy and digital,Later stage,2021,0,Percentage,1
AFG,AFGHANISTAN,Probability to receive funding,"By sector (energy, green, digital)",Energy and non-digital,Later stage,2021,0,Percentage,1
AFG,AFGHANISTAN,Probability to receive funding,"By sector (energy, green, digital)",Non-energy,Later stage,2021,1.88679242134094,Percentage,53
AFG,AFGHANISTAN,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Later stage,2022,11.5041093826294,Years,53
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Early stage,2015,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Early stage,2016,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Early stage,2017,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Early stage,2018,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Early stage,2019,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Early stage,2020,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Early stage,2021,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Non-clean energy,Early stage,2021,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Later stage,2015,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Later stage,2016,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Later stage,2017,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Later stage,2018,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Later stage,2019,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Later stage,2020,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Fossil fuels,Later stage,2021,0,Percentage,2
AFG,AFGHANISTAN,Probability to receive funding,By technology,Non-clean energy,Later stage,2021,0,Percentage,2
ALB,ALBANIA,Fundings of start-ups,"By sector (energy, green, digital)",Energy,Early stage,2015,2353591.25,USD,1
ALB,ALBANIA,Probability to receive funding,"By sector (energy, green, digital)",Energy,Early stage,2021,0,Percentage,2
ALB,ALBANIA,Probability to receive funding,"By sector (energy, green, digital)",Energy and digital,Early stage,2021,0,Percentage,1
ALB,ALBANIA,Fundings of start-ups,"By sector (energy, green, digital)",Energy and non-digital,Early stage,2015,2353591.25,USD,1
ALB,ALBANIA,Probability to receive funding,"By sector (energy, green, digital)",Energy and non-digital,Early stage,2021,0,Percentage,1
ALB,ALBANIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2015,329349.78125,USD,2
ALB,ALBANIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2016,2640260,USD,2
ALB,ALBANIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2019,7281122.5,USD,1
ALB,ALBANIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2020,21515.15234375,USD,1
ALB,ALBANIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2021,493356.375,USD,2
ALB,ALBANIA,Probability to receive funding,"By sector (energy, green, digital)",Non-energy,Early stage,2021,4.50450468063354,Percentage,111
ALB,ALBANIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2022,0.776986300945282,Years,112
ALB,ALBANIA,Probability to receive funding,"By sector (energy, green, digital)",Energy,Later stage,2021,0,Percentage,2
ALB,ALBANIA,Probability to receive funding,"By sector (energy, green, digital)",Energy and digital,Later stage,2021,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,"By sector (energy, green, digital)",Energy and non-digital,Later stage,2021,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,"By sector (energy, green, digital)",Non-energy,Later stage,2021,0,Percentage,111
ALB,ALBANIA,Fundings of start-ups,By technology,Energy efficiency,all,2015,2353591.25,USD,1
ALB,ALBANIA,Fundings of start-ups,By technology,Clean energy,Early stage,2015,2353591.25,USD,1
ALB,ALBANIA,Probability to receive funding,By technology,Clean energy,Early stage,2021,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Energy efficiency,Early stage,2016,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Energy efficiency,Early stage,2017,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Energy efficiency,Early stage,2018,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Energy efficiency,Early stage,2019,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Energy efficiency,Early stage,2020,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Energy efficiency,Early stage,2021,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Early stage,2015,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Early stage,2016,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Early stage,2017,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Early stage,2018,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Early stage,2019,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Early stage,2020,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Early stage,2021,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Non-clean energy,Early stage,2021,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Clean energy,Later stage,2021,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Energy efficiency,Later stage,2016,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Energy efficiency,Later stage,2017,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Energy efficiency,Later stage,2018,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Energy efficiency,Later stage,2019,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Energy efficiency,Later stage,2020,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Energy efficiency,Later stage,2021,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Later stage,2015,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Later stage,2016,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Later stage,2017,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Later stage,2018,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Later stage,2019,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Later stage,2020,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Grid,Later stage,2021,0,Percentage,1
ALB,ALBANIA,Probability to receive funding,By technology,Non-clean energy,Later stage,2021,0,Percentage,1
DZA,ALGERIA,Probability to receive funding,"By sector (energy, green, digital)",Energy,Early stage,2021,0,Percentage,1
DZA,ALGERIA,Probability to receive funding,"By sector (energy, green, digital)",Energy and non-digital,Early stage,2021,0,Percentage,1
DZA,ALGERIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2014,11767.9560546875,USD,1
DZA,ALGERIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2018,1885937.5,USD,1
DZA,ALGERIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2019,4346939,USD,1
DZA,ALGERIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2020,4184.69677734375,USD,1
DZA,ALGERIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2021,69339720,USD,3
DZA,ALGERIA,Probability to receive funding,"By sector (energy, green, digital)",Non-energy,Early stage,2021,8.08080768585205,Percentage,99
DZA,ALGERIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2022,1.01815068721771,Years,99
DZA,ALGERIA,Probability to receive funding,"By sector (energy, green, digital)",Energy,Later stage,2021,0,Percentage,1
DZA,ALGERIA,Probability to receive funding,"By sector (energy, green, digital)",Energy and non-digital,Later stage,2021,0,Percentage,1
DZA,ALGERIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Later stage,2020,311954.625,USD,2
DZA,ALGERIA,Probability to receive funding,"By sector (energy, green, digital)",Non-energy,Later stage,2021,2.02020192146301,Percentage,99
DZA,ALGERIA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Later stage,2022,7.21369886398315,Years,99
DZA,ALGERIA,Probability to receive funding,By technology,Non-clean energy,Early stage,2021,0,Percentage,1
DZA,ALGERIA,Probability to receive funding,By technology,Non-clean energy,Later stage,2021,0,Percentage,1
ASM,AMERICAN SAMOA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2018,665625,USD,1
ASM,AMERICAN SAMOA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2019,326020.40625,USD,1
ASM,AMERICAN SAMOA,Probability to receive funding,"By sector (energy, green, digital)",Non-energy,Early stage,2021,50,Percentage,2
ASM,AMERICAN SAMOA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2022,0.123287670314312,Years,2
ASM,AMERICAN SAMOA,Probability to receive funding,"By sector (energy, green, digital)",Non-energy,Later stage,2021,0,Percentage,2
AND,ANDORRA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2021,7004317.5,USD,1
AND,ANDORRA,Probability to receive funding,"By sector (energy, green, digital)",Non-energy,Early stage,2021,4.16666650772095,Percentage,24
AND,ANDORRA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2022,0,Years,24
AND,ANDORRA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2022,526225,USD,1
AND,ANDORRA,Probability to receive funding,"By sector (energy, green, digital)",Non-energy,Later stage,2021,0,Percentage,24
AGO,ANGOLA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2013,246640.84375,USD,1
AGO,ANGOLA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2017,203936.171875,USD,1
AGO,ANGOLA,Fundings of start-ups,"By sector (energy, green, digital)",Non-energy,Early stage,2018,377187.5,USD,1
AGO,ANGOLA,Probability to receive funding,"By sector (energy, green, digital)",Non-energy,Early stage,2021,4.61538457870483,Percentage,65
