country iso3,country name,category breakdown,indicator,technology or sector,year,value,unit,number of observations
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of acquisition,Energy,2021,0,Percentage,2
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of acquisition,Energy and digital,2021,0,Percentage,1
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of acquisition,Energy and non-digital,2021,0,Percentage,1
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of acquisition,Fossil fuels,2015,0,Percentage,2
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of acquisition,Fossil fuels,2016,0,Percentage,2
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of acquisition,Fossil fuels,2017,0,Percentage,2
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of acquisition,Fossil fuels,2018,0,Percentage,2
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of acquisition,Fossil fuels,2019,0,Percentage,2
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of acquisition,Fossil fuels,2020,0,Percentage,2
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of acquisition,Fossil fuels,2021,0,Percentage,2
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of acquisition,Non-clean energy,2021,0,Percentage,2
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of acquisition,Non-energy,2021,0,Percentage,53
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of Ipo,Energy,2021,0,Percentage,2
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of Ipo,Energy and digital,2021,0,Percentage,1
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of Ipo,Energy and non-digital,2021,0,Percentage,1
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of Ipo,Fossil fuels,2015,0,Percentage,2
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of Ipo,Fossil fuels,2016,0,Percentage,2
AFG,afghanistan,"Probability of success, acquisition, IPO",Probability of Ipo,Fossil fuels,2017,0,Percentage,2
